
2.31,0.33,-15.36,1190.48
2.32,-8.31,-18.12,495.05
2.33,-8.31,-18.12,495.05
2.34,-8.31,-18.12,495.05
2.35,-8.31,-18.12,495.05
2.36,67.23,-1.32,2941.18
2.37,60.63,-3.38,2500
2.38,66.71,-2.14,2857.14
2.39,-2.53,-17.6,369
2.4,63.71,-2.84,2702.7
2.41,62.26,-3.85,2564.1
2.42,-2.27,-17.44,361.01
2.43,-2.84,-16.96,353.36
2.44,-2.72,-16.89,350.88
2.45,-12.52,-22.63,584.8
2.46,75.95,-5.16,3125
2.47,62.9,-4.62,2564.1
2.48,75.95,-5.16,3125
2.49,67.41,-4.29,2857.14
2.5,70.74,-5,3030.3
2.51,71.48,-4.55,3030.3
2.52,76.71,-5.63,3125
2.53,74.44,-5,3030.3
2.54,78.31,-5.32,3225.81
2.55,-1.18,-16.23,546.45
2.56,-2.07,-17.97,373.13
2.57,15.32,-15.54,900.9
2.58,-2.33,-17.5,362.32
2.59,-2.27,-17.38,361.01
2.6,-2.27,-17.38,361.01
2.61,-2.45,-17.57,364.96
2.62,-1.95,-17.83,370.37
2.63,1.81,-16.37,480.77
2.64,76.71,-5.16,3125
2.65,70.24,-4.71,2857.14
